ActivityID,ACTIVITYTYPEID
1,1
1,2
2,3
2,4
2,5
2,6
2,7
3,8
3,3
3,4
3,7
4,1
4,2
5,1
5,2
6,16
6,17
6,18
7,19
7,20
7,21
8,8
8,16
8,24
8,17
8,18
8,27
8,20
8,2
9,1
9,2
10,32
10,1
10,2
11,1
11,2
12,1
12,2
13,3
13,4
14,19
14,20
14,21
15,1
15,2
16,1
16,2
17,8
17,3
17,4
17,5
18,1
18,2
19,3
19,4
19,5
19,7
20,1
20,2
21,60
21,61
22,1
22,2
23,20
23,65
23,27
24,8
24,3
24,4
24,5
24,71
25,1
25,2
26,3
26,4
27,1
27,2
28,1
28,2
29,1
29,2
30,1
30,2
31,84
31,1
32,1
32,2
33,1
33,2
33,32
34,32
34,1
34,2
35,8
35,1
35,2
36,97
37,1
37,2
38,100
38,101
38,102
39,19
39,20
39,21
40,106
40,107
41,8
41,17
41,18
41,3
41,5
41,113
41,1
41,2
42,1
42,2
43,118
43,119
43,16
43,121
43,122
43,123
43,124
43,125
44,3
44,4
44,20
44,65
44,27
45,131
45,132
46,8
46,134
46,24
46,16
46,113
46,3
46,2
47,32
47,141
48,118
48,119
48,16
48,121
48,122
48,123
48,124
48,125
49,1
49,2
50,152
50,153
50,154
50,1
50,84
51,3
51,4
52,3
52,4
52,5
53,8
53,119
54,8
54,119
54,1
55,152
55,1
55,169
56,3
56,4
57,152
57,173
57,174
58,8
58,24
58,177
58,27
58,20
59,131
59,132
60,134
60,24
60,1
61,32
61,141
62,19
62,20
62,189
62,190
62,191
62,1
62,152
62,60
62,61
62,131
62,197
62,198
62,199
62,153
62,154
62,84
62,203
62,204
62,17
62,32
62,173
62,174
63,209
64,1
64,2
65,8
65,32
65,1
65,2
66,216
66,1
67,218
67,219
67,220
67,221
67,222
68,106
68,107
68,2
69,152
69,199
69,1
69,84
69,32
69,17
69,232
70,3
70,4
70,6
70,7
71,8
71,191
71,1
71,240
71,241
71,17
71,113
71,3
72,131
72,1
72,17
72,232
72,2
73,8
73,152
73,3
73,4
73,199
73,1
73,256
73,32
73,2
74,1
74,2
74,32
74,262
75,8
75,131
75,1
75,2
76,118
76,119
76,16
76,121
76,122
76,123
76,124
76,125
77,8
77,4
77,20
77,65
77,19
77,134
77,24
77,113
77,3
77,2
77,27
78,32
79,20
79,65
79,19
79,27
80,121
80,122
80,123
80,124
81,121
81,122
81,123
81,124
82,119
82,1
83,19
83,20
83,21
83,27
84,1
84,2
85,1
85,262
85,2
86,1
86,2
87,1
87,2
88,152
88,169
89,1
89,191
89,152
89,199
90,199
90,1
91,1
91,2
92,199
92,1
93,84
93,1
94,8
94,1
95,8
95,1
95,2
96,333
96,334
96,335
97,335
97,333
97,334
98,121
98,122
98,123
98,124
98,125
98,16
99,106
99,107
100,347
100,190
100,24
101,350
102,121
102,122
102,123
102,124
102,125
102,16
103,8
103,3
103,4
103,113
103,6
104,20
104,65
104,19
104,27
105,3
105,4
106,209
107,119
107,24
107,371
107,190
107,189
107,32
107,375
107,141
107,113
107,3
107,2
107,27
107,20
108,8
108,119
108,371
108,190
108,24
108,141
108,1
108,113
108,3
108,2
108,27
108,20
109,119
109,19
109,20
109,21
109,1
110,335
110,333
110,334
111,8
111,4
111,32
111,375
111,406
111,3
111,27
111,20
111,2
112,119
112,19
112,20
113,3
113,4
113,6
114,32
114,1
114,2
115,1
115,2
116,20
116,65
116,19
116,27
117,1
118,3
118,4
118,6
119,3
119,4
119,5
119,7
120,3
120,4
120,5
120,6
120,7
121,119
121,440
121,441
121,16
121,1
121,444
121,3
121,4
121,406
122,1
122,2
123,20
123,65
123,1
123,169
123,152
123,27
124,32
125,32
126,8
126,119
126,32
126,24
126,113
126,3
127,32
127,1
127,2
128,3
128,4
129,84
129,1
130,119
131,60
131,61
132,106
132,107
132,113
132,3
133,97
134,20
134,65
134,27
135,118
135,119
135,1
135,2
136,24
136,16
136,488
137,20
137,65
137,27
138,3
138,4
139,1
139,2
140,496
141,8
141,3
141,4
142,20
142,65
142,19
142,27
143,97
144,3
144,4
144,6
144,7
145,3
145,4
145,113
146,60
146,61
146,514
146,515
146,2
147,97
148,1
148,113
148,3
149,3
149,4
149,1
149,17
149,18
149,526
149,5
149,27
149,20
150,97
151,514
152,119
152,440
152,441
153,4
153,19
153,20
153,440
153,441
153,119
153,3
153,406
153,1
154,17
154,545
154,18
154,113
154,3
155,60
155,61
155,1
156,3
156,4
157,8
157,3
157,4
158,3
158,4
158,5
159,197
159,198
160,20
160,65
160,27
161,3
161,4
161,5
162,8
162,3
162,4
162,5
162,6
162,7
163,19
163,20
163,119
163,21
163,17
163,545
163,526
163,3
163,5
164,8
164,19
164,20
164,24
164,113
164,3
164,27
165,119
165,1
166,134
166,1
167,1
167,2
168,3
168,4
168,5
169,335
169,333
169,334
170,3
170,4
170,5
171,19
171,20
171,21
172,32
172,1
172,610
172,2
173,60
173,61
173,1
174,8
174,3
174,4
174,6
175,3
175,4
175,5
176,60
176,61
176,141
176,1
177,60
177,61
178,60
178,61
179,60
179,61
180,60
180,61
181,60
181,61
181,1
181,515
181,2
182,60
182,61
183,60
183,61
184,152
184,60
184,61
184,32
184,1
184,113
184,3
184,169
185,60
185,61
186,60
186,61
187,60
187,61
187,1
187,515
187,2
188,60
188,61
189,218
189,219
189,220
189,221
189,222
190,189
190,190
191,8
191,3
191,4
191,113
192,121
192,122
192,123
192,124
193,119
193,24
193,440
193,441
193,1
194,197
194,198
194,1
195,3
195,4
195,6
195,7
196,32
196,141
197,19
197,20
197,119
197,21
198,16
198,488
199,84
199,1
199,203
199,204
199,17
199,32
199,209
199,141
200,3
200,4
201,3
201,4
202,218
202,219
202,220
202,221
202,222
202,3
202,5
202,4
203,119
204,3
204,4
204,113
205,131
205,722
205,204
205,17
205,113
205,3
205,1
206,8
206,3
206,4
206,71
206,6
207,203
207,204
207,17
207,1
208,4
208,203
208,204
208,17
208,722
208,3
208,27
208,20
209,97
210,152
210,1
210,169
211,1
211,2
211,515
212,335
212,1
212,333
212,334
213,1
213,2
214,173
214,174
215,173
215,174
216,173
216,174
217,1
217,2
218,1
218,2
219,20
219,65
219,19
219,27
220,19
220,20
220,65
220,27
221,20
221,65
221,19
221,27
222,119
222,526
222,610
222,113
222,3
223,16
223,106
223,107
223,2
224,119
224,24
224,240
224,241
224,17
224,19
224,20
224,21
224,18
224,113
224,3
225,20
225,65
225,106
225,107
225,113
225,3
226,806
226,190
226,2
227,1
227,2
228,20
228,65
228,19
228,27
229,32
229,16
229,1
229,2
230,3
230,4
230,6
230,7
231,3
231,4
232,32
232,826
232,827
233,218
233,219
233,220
233,221
233,222
233,1
233,406
233,3
233,4
233,7
234,60
234,61
234,1
235,209
236,24
237,335
237,333
237,334
238,131
238,132
239,16
239,121
239,122
239,123
239,124
239,125
240,3
240,4
240,20
240,65
240,27
241,8
241,119
241,32
241,16
241,488
241,106
241,107
241,17
241,18
241,113
241,3
241,406
241,4
241,2
242,3
242,4
242,113
243,119
243,24
243,32
243,106
243,107
243,16
243,806
243,190
243,113
243,3
243,2
243,27
243,20
244,32
245,3
245,4
245,20
245,65
245,27
246,440
246,441
246,119
246,20
246,65
246,444
246,3
246,4
246,406
246,904
246,7
246,27
247,199
247,1
247,216
248,203
248,204
248,17
248,32
248,209
248,141
249,1
250,20
250,65
250,19
250,27
251,121
251,122
251,123
251,124
252,32
253,121
253,122
253,123
253,124
253,125
253,16
254,209
255,32
255,826
255,827
255,1
256,3
256,4
256,113
257,189
257,190
257,32
257,826
257,827
257,806
258,4
258,1
258,3
258,5
258,950
259,119
260,32
261,8
261,119
261,24
261,113
261,3
261,27
261,20
262,19
262,20
262,21
263,20
263,65
263,19
263,27
264,132
264,131
265,209
266,24
267,20
267,65
267,27
268,3
268,4
268,113
269,19
269,20
269,119
269,21
269,27
270,19
270,20
270,27
270,65
271,335
271,1
271,333
271,334
271,2
271,515
272,335
272,333
272,334
273,173
273,174
274,173
274,174
275,20
275,65
275,27
276,119
276,19
276,20
276,1
277,19
277,20
277,119
278,119
278,19
278,20
279,350
280,350
281,32
281,1
281,2
282,3
282,4
282,5
283,20
283,65
283,19
283,27
284,119
284,19
284,20
284,1
284,27
285,119
286,16
286,2
287,131
287,132
288,152
288,197
288,198
288,32
288,1
289,131
289,132
290,197
290,198
291,191
291,1
291,152
291,197
291,198
291,199
291,1049
291,17
291,232
291,169
291,2
292,152
292,1
292,17
292,232
292,2
292,169
293,1060
293,190
293,106
293,107
294,197
294,198
294,1
294,2
295,32
296,3
296,4
296,20
296,65
296,27
297,121
297,122
297,123
297,124
298,203
298,204
298,17
298,722
298,1082
299,1
300,1
300,3
300,5
300,1087
300,113
300,27
300,20
301,1
302,8
302,119
303,119
304,3
304,4
305,32
305,1
305,2
306,121
306,122
306,123
306,124
306,125
306,16
307,8
307,119
307,24
308,488
308,16
309,3
309,4
309,20
309,65
309,27
310,131
310,132
311,131
311,100
311,101
311,102
311,1
312,8
312,24
312,488
312,16
312,113
312,3
313,197
313,198
313,1
314,131
314,132
315,17
315,545
316,1136
316,17
317,203
317,204
317,17
317,1082
317,1
318,32
319,20
319,65
319,27
320,8
320,3
320,4
320,119
320,24
320,1152
320,2
321,16
321,488
322,1
323,1157
323,256
323,1
323,17
323,232
323,2
323,515
324,131
324,132
325,118
325,119
325,134
325,24
325,20
325,16
325,2
325,32
326,199
326,1
326,17
326,232
327,32
328,8
328,119
328,1
328,24
329,20
329,1
329,515
329,2
329,27
330,1157
330,1
330,2
330,515
331,1
331,2
331,515
332,1
332,2
333,3
333,4
333,119
333,1
333,1152
333,2
334,119
335,1
335,2
335,262
336,1
336,2
337,8
337,119
338,8
338,199
338,1
338,2
339,119
339,347
339,190
339,375
339,1
340,1
340,2
340,515
341,1
341,2
341,515
342,119
343,60
343,61
344,3
344,4
345,488
345,16
345,2
346,3
346,4
346,20
346,65
346,27
347,97
348,16
348,121
348,122
348,123
348,124
349,121
349,122
349,123
349,124
350,3
350,4
350,5
351,32
351,106
351,107
352,3
352,4
352,5
353,203
353,204
353,17
353,722
353,1082
353,1
353,232
354,203
354,204
354,17
354,722
354,1082
354,1
354,232
355,203
355,204
355,17
355,722
355,1082
355,1
355,232
356,203
356,204
356,17
356,722
356,1082
356,232
356,113
356,3
356,1
357,203
357,204
357,17
357,722
357,1082
357,1
358,203
358,204
358,17
358,722
358,1082
358,1
359,203
359,204
359,17
359,722
359,1082
359,232
359,113
359,3
359,1
360,203
360,204
360,17
360,722
360,1082
360,1
361,1082
361,17
362,3
362,4
362,5
362,113
362,6
363,1
363,2
364,119
365,8
365,3
365,4
366,335
366,333
366,334
367,8
367,19
367,20
367,65
367,106
367,107
367,113
367,3
367,27
368,20
368,65
368,19
368,113
368,3
368,444
368,4
368,27
369,20
369,65
369,19
369,113
369,3
369,27
370,20
370,65
370,19
370,27
371,20
371,65
371,19
371,113
371,3
371,27
372,119
372,24
372,19
372,20
372,1
373,32
373,826
373,827
374,19
374,20
374,21
375,191
375,1
375,32
375,2
376,32
376,826
376,827
377,152
377,32
377,826
377,827
377,141
378,24
378,826
378,827
378,32
378,16
378,113
378,3
379,191
379,1
379,199
379,119
379,118
379,32
379,2
380,375
380,1
380,2
380,515
381,191
381,1
381,216
381,113
381,3
381,27
381,20
382,199
382,1
382,32
383,8
383,1
384,3
384,4
385,3
385,4
385,5
386,97
387,97
388,97
389,3
389,4
389,7
390,1
390,2
391,3
391,4
392,209
393,189
393,190
393,60
393,61
393,32
393,826
393,827
394,3
394,4
395,3
395,4
395,5
395,6
396,203
396,204
396,17
396,722
396,1082
396,232
396,1
397,8
397,3
397,4
397,5
398,19
398,20
398,21
399,152
399,1
399,2
399,169
400,3
400,4
400,5
401,119
401,24
401,440
401,441
402,209
403,3
403,4
403,20
403,65
403,27
404,131
404,132
405,131
405,132
406,131
406,132
407,1
407,113
407,3
408,131
408,132
409,32
409,1
409,17
409,18
409,2
410,19
410,20
410,21
411,121
411,122
411,123
411,124
412,131
412,132
413,118
413,119
413,16
413,488
414,375
415,3
415,4
415,20
415,65
415,27
416,131
416,132
417,1157
417,152
417,60
417,61
417,199
417,1
417,97
417,169
417,515
417,2
418,32
419,32
419,826
419,827
420,32
420,826
420,827
421,16
421,488
422,3
422,4
422,6
422,7
423,131
423,132
424,32
424,141
425,24
425,16
426,131
426,132
427,131
427,132
428,32
428,141
429,131
429,132
430,152
431,32
431,141
431,806
431,190
432,335
432,333
432,334
433,3
433,4
433,20
433,65
433,27
434,32
434,806
434,190
435,121
435,122
435,123
435,124
436,119
436,19
436,20
437,203
437,204
437,17
437,32
437,209
438,131
438,132
439,131
439,132
440,4
440,1584
440,17
440,232
440,3
440,5
441,199
441,1
441,153
441,154
441,118
441,119
441,84
441,203
441,204
441,17
441,32
441,209
441,97
441,141
441,232
442,131
442,132
443,32
443,24
443,16
443,173
443,174
443,121
443,122
443,123
443,124
443,2
444,1060
444,190
444,106
444,107
445,16
445,488
446,24
447,209
448,121
448,122
448,123
448,124
449,32
450,131
450,132
451,1060
451,190
451,106
451,107
452,97
453,32
453,209
453,141
454,496
455,131
455,132
456,203
456,204
456,17
456,1082
456,1
457,32
457,141
458,209
459,218
459,219
459,220
459,221
459,222
460,189
460,190
460,84
460,1
460,203
460,204
460,17
460,32
460,97
460,209
460,141
460,232
461,32
461,209
461,141
462,16
462,488
462,125
463,152
463,1
463,2
463,169
464,32
464,141
465,32
465,1
465,2
465,515
466,8
466,1
466,2
466,515
467,20
467,65
467,27
468,32
468,826
468,827
469,60
469,61
469,256
469,1
469,203
469,204
469,17
469,209
470,191
470,1
470,32
470,826
470,827
470,141
471,20
471,65
471,19
471,27
472,16
472,488
472,125
472,2
473,16
473,488
474,191
474,1
474,199
474,203
474,204
474,17
474,1049
474,216
475,203
475,204
475,17
475,216
475,1
476,131
476,132
477,209
478,97
479,189
479,190
479,60
479,61
479,203
479,204
479,17
479,32
479,97
479,209
479,141
480,131
480,132
481,203
481,204
481,17
481,32
481,209
482,1060
482,190
482,106
482,107
483,32
483,826
483,827
484,32
484,826
484,827
485,32
485,826
485,827
486,32
487,496
488,496
489,152
489,826
489,827
489,32
490,152
490,826
490,827
490,32
490,141
490,17
490,232
490,113
490,3
490,2
490,169
491,152
491,826
491,827
491,32
492,152
492,826
492,827
492,32
493,119
493,1
493,526
494,119
494,19
494,20
494,21
494,1
495,197
495,198
496,119
496,347
496,190
496,19
496,20
496,24
496,444
496,3
496,4
496,2
496,27
497,1060
497,190
497,106
497,107
498,8
498,3
498,4
498,24
498,444
498,1
498,1152
498,2
499,132
499,131
499,1826
499,101
499,1828
500,3
500,4
500,119
500,440
500,441
500,1
500,406
501,121
501,122
501,123
501,124
502,131
502,132
503,16
503,488
504,32
504,141
504,806
504,190
505,16
505,488
506,119
506,440
506,441
506,1
506,113
506,3
507,119
507,1060
507,190
507,440
507,441
507,106
507,107
507,113
507,3
507,2
507,27
507,20
508,3
508,4
508,6
508,7
509,131
509,132
510,97
511,131
511,132
512,209
513,488
513,16
513,125
514,24
514,2
515,119
515,20
515,65
515,19
515,21
515,1
515,27
516,60
516,61
516,1
517,16
517,488
518,3
518,4
518,27
518,20
518,65
519,347
519,190
519,24
519,16
520,16
520,488
521,1060
521,190
521,106
521,107
522,4
522,32
522,106
522,107
522,488
522,16
522,3
523,119
523,24
524,16
524,488
525,496
526,32
526,106
526,107
527,131
527,132
528,32
528,826
528,827
529,209
530,32
530,806
530,190
531,209
532,3
532,4
533,32
533,16
533,488
533,125
534,826
534,827
534,32
534,806
534,190
535,152
536,32
537,60
537,61
538,119
538,20
538,65
538,19
538,27
539,3
539,4
539,20
539,65
539,27
540,97
541,32
542,17
542,545
542,18
542,1
543,32
543,826
543,827
543,1969
543,1970
543,806
543,190
544,1
545,514
546,32
547,8
547,1
547,2
547,515
548,256
548,1
548,515
548,2
549,16
549,121
549,122
549,123
549,124
549,125
550,131
550,132
551,199
551,1
552,3
552,4
553,3
553,4
553,20
553,65
553,27
554,131
554,132
555,8
555,3
555,4
555,6
555,7
556,189
556,190
556,60
556,61
556,84
556,1
556,203
556,204
556,17
556,32
556,97
556,209
556,141
557,97
558,32
558,826
558,827
559,199
559,1
559,515
559,2
560,131
560,132
561,514
562,16
562,106
562,107
562,113
562,3
562,406
562,4
562,2
563,3
563,4
563,20
563,65
563,27
564,32
565,3
565,4
566,3
566,4
566,6
566,7
567,3
567,4
567,5
568,3
568,4
568,5
569,32
570,119
570,1
571,8
571,1157
571,1
571,2
571,515
572,97
573,203
573,204
573,17
573,32
573,209
573,141
574,84
574,1
575,209
576,1
576,113
576,3
577,3
577,4
577,5
578,3
578,4
578,5
579,1157
579,1
579,515
579,2
580,1
580,2
581,3
581,4
581,113
582,8
582,1157
582,1
582,515
582,2
583,4
583,20
583,65
583,19
583,113
583,3
583,27
584,8
584,3
584,4
584,5
584,7
585,8
585,335
585,333
585,334
586,8
586,335
586,333
586,334
587,1
587,113
587,3
588,1
589,119
589,24
589,20
589,65
589,19
589,27
590,1
590,60
590,61
591,1
591,60
591,61
592,3
592,4
593,8
593,119
593,32
593,24
593,106
593,107
593,113
593,3
593,27
593,20
594,32
594,1
594,2
595,1
596,119
596,1
597,8
597,199
597,1
597,256
597,113
597,3
598,60
598,61
598,1
598,17
598,232
598,515
598,2
599,3
599,4
599,5
600,3
600,4
600,113
600,6
600,7
601,8
601,84
601,1
602,3
602,4
603,209
604,496
605,20
605,65
605,27
606,97
607,8
607,3
607,4
607,113
608,8
608,119
608,19
608,20
608,27
609,32
609,1
609,2
610,191
610,1
610,152
610,199
610,32
610,216
611,32
611,1
611,2
612,152
613,32
613,141
614,131
614,132
615,3
615,4
616,3
616,4
616,5
617,131
617,132
618,106
618,107
618,16
618,17
618,18
618,1
618,2
619,118
619,119
619,1060
619,190
619,32
619,24
619,16
619,106
619,107
619,1
619,17
619,18
619,2
620,8
620,3
620,4
620,5
621,1
621,2
622,131
622,132
623,121
623,122
623,123
623,124
624,1
624,2
625,218
625,219
625,220
625,221
625,203
625,204
625,17
625,222
625,722
625,1082
625,3
625,5
625,4
626,131
626,132
627,1060
627,190
627,106
627,107
627,113
627,3
628,119
628,19
628,20
628,1
629,3
629,4
629,5
630,3
630,4
630,5
631,197
631,198
631,1
632,24
633,1
633,2
634,1
634,2
635,1
635,2
636,1
636,2
637,8
637,3
637,4
638,3
638,4
638,6
639,3
639,4
640,335
640,1157
640,256
640,1
640,333
640,334
640,2
640,515
641,32
641,826
641,827
642,32
642,826
642,827
642,806
642,190
643,20
643,65
643,19
643,113
643,3
643,27
644,3
644,4
644,113
644,6
644,7
645,131
645,132
646,197
646,198
646,1584
646,17
646,232
646,3
646,5
646,1
647,106
647,107
647,27
647,20
648,8
648,3
648,4
649,3
649,4
649,5
649,6
650,3
650,4
650,20
650,65
650,27
651,19
651,20
651,3
651,4
651,65
651,27
652,131
652,132
653,24
653,113
653,3
653,2
654,8
654,32
654,16
654,106
654,107
654,113
654,3
654,2
655,16
656,20
656,65
656,27
657,32
657,826
657,827
658,141
659,20
659,65
659,19
659,27
660,119
660,20
660,65
660,19
660,1
660,27
661,3
661,4
661,113
662,191
662,1
662,199
662,84
663,24
663,3
663,5
663,444
663,4
663,406
663,27
663,20
664,4
664,189
664,190
664,152
664,60
664,61
664,256
664,1
664,203
664,204
664,17
664,32
664,173
664,174
664,141
664,3
664,5
665,32
666,97
667,32
668,97
669,335
669,333
669,334
670,8
670,118
670,119
670,19
670,20
670,134
670,24
670,113
670,3
670,27
671,131
671,132
672,8
672,3
672,4
672,6
673,16
673,488
674,119
675,1
675,2
676,8
676,335
676,333
676,334
677,32
677,141
677,806
677,190
678,440
678,441
678,119
679,203
679,204
679,17
679,32
679,209
680,3
680,4
681,32
681,1
681,2
682,8
682,1
682,2
683,20
683,65
683,19
683,27
684,20
684,65
684,19
684,27
685,1
685,2
686,152
686,1
686,2
687,152
687,1
687,2
688,3
688,4
688,6
688,7
689,3
689,4
689,5
690,32
690,826
690,827
691,152
691,1
691,169
692,152
692,1
692,169
693,152
693,169
694,8
694,3
694,4
694,5
695,19
695,20
695,1
695,16
695,406
695,3
695,4
695,27
696,119
696,1
697,1
698,8
698,152
698,169
699,152
699,169
700,152
700,1
700,2
700,169
